config,client,run_number,run_id,wh_winner,wh_bid_delta,wh_south_score,wh_central_score,wh_north_score,est_winner,est_bid_delta,cost_score,speed_score
C0,freshco,6,3cd44175-eb89-4830-a63b-fce4a5ade64c,warehouse-south,0.3581,0.6762,0.3522,0.3422,cost-estimator,0.38,0.674,0.3176
C0,freshco,7,52f8ef7a-4e1e-4e1c-9f91-843a63f475d7,warehouse-south,0.3555,0.7175,0.3495,0.3614,cost-estimator,0.3805,0.7052,0.3066
C0,freshco,8,33bb3da4-8e97-4dfc-b44b-ffd5f02ae1c5,warehouse-south,0.3532,0.6747,0.3509,0.3402,cost-estimator,0.3734,0.6769,0.3291
C0,freshco,9,0b454a79-c81f-49ad-8b7c-ef6da1d19342,warehouse-south,0.3308,0.6953,0.369,0.3736,cost-estimator,0.3793,0.6839,0.3078
C0,freshco,10,6d66a0fb-2940-4a76-a6d1-ea52ce6ceee1,warehouse-south,0.3438,0.6735,0.3489,0.3176,cost-estimator,0.379,0.6833,0.3025
C0,techparts,3,ebf9451b-6e41-4ac9-9e59-4c6a9c8e9ceb,warehouse-central,0.2255,0.4686,0.7055,0.4297,cost-estimator,0.3874,0.6713,0.3124
C0,techparts,6,ad1ed33f-7b75-40d6-931c-cfd2aa4b7996,warehouse-central,0.2198,0.4416,0.693,0.4226,cost-estimator,0.3604,0.6918,0.3121
C0,techparts,7,fd10fe92-cda3-411c-ba3d-015dd0cdaa06,warehouse-central,0.2346,0.4399,0.6631,0.4197,cost-estimator,0.3458,0.7149,0.3609
C0,techparts,8,cd590055-58d4-4739-8890-0642e2d68d1c,warehouse-central,0.2142,0.4552,0.696,0.5305,cost-estimator,0.3705,0.6861,0.3176
C0,techparts,9,e0fa5139-7459-401a-8969-2527acd1b121,warehouse-central,0.2236,0.4932,0.7198,0.4441,cost-estimator,0.342,0.7179,0.3542
C0,techparts,10,103580e6-8577-4c58-a146-a1a4259fa903,warehouse-central,0.2244,0.4904,0.6969,0.4495,cost-estimator,0.3289,0.689,0.3424
C0,greenleaf,6,fe63a2c3-0084-4443-aeb7-ce1674b73d0f,warehouse-central,0.2249,0.5031,0.6979,0.4443,speed-estimator,0.164,0.4838,0.6764
C0,greenleaf,7,1b85782d-70c5-4403-af2a-7eb7f5c7ec43,warehouse-central,0.225,0.4767,0.715,0.4811,speed-estimator,0.2351,0.4892,0.7146
C0,greenleaf,8,0743d64f-3123-4493-afe1-e82f45b57172,warehouse-central,0.2211,0.4811,0.6987,0.4487,speed-estimator,0.3127,0.4436,0.721
C0,greenleaf,9,fb5d27c2-1674-46a2-b52b-9d6ef2097460,warehouse-central,0.2243,0.4764,0.6942,0.4857,speed-estimator,0.2371,0.4779,0.6791
C0,greenleaf,10,0daece8b-ff2e-4e98-a45b-92973f865cc9,warehouse-central,0.2209,0.4708,0.6837,0.446,speed-estimator,0.2072,0.483,0.6049
C0,quickship,6,7f038fe6-f035-492d-ab90-0a27f921dc17,warehouse-south,0.219,0.6874,0.4627,0.461,cost-estimator,0.2303,0.7072,0.4555
C0,quickship,7,1cc002da-914d-487c-af69-d74e44eef5ae,warehouse-south,0.2248,0.6987,0.4823,0.4882,cost-estimator,0.2308,0.6928,0.4494
C0,quickship,8,f5b71d10-b3c4-42bf-8ad4-fa3611dcc0d0,warehouse-south,0.2222,0.6868,0.4991,0.4555,cost-estimator,0.2304,0.6854,0.4653
C0,quickship,9,24c9325b-0c45-45d1-8357-8427893284f0,warehouse-south,0.2173,0.708,0.4683,0.4953,cost-estimator,0.23,0.7,0.4802
C0,quickship,10,3fb28964-988b-404b-b2f7-7455f2de444d,warehouse-south,0.2196,0.6982,0.474,0.4551,cost-estimator,0.2305,0.7115,0.4782
C0,nordicsteel,6,c4647d22-b142-4a10-953a-5636e3d659a6,warehouse-north,0.2182,0.477,0.4807,0.6858,speed-estimator,0.23,0.482,0.698
C0,nordicsteel,7,95de013c-fb10-4da7-8e6b-4d1a5886bbff,warehouse-north,0.2199,0.4856,0.4513,0.7112,speed-estimator,0.2278,0.5003,0.695
C0,nordicsteel,8,4b137042-049b-4d5c-ad8b-d85e4686a080,warehouse-north,0.2187,0.5033,0.4841,0.6956,cost-estimator,0.2305,0.4452,0.709
C0,nordicsteel,9,0822c7a8-783c-4e0a-9674-16b9dedb46bb,warehouse-north,0.2186,0.5018,0.4437,0.6858,speed-estimator,0.2297,0.4842,0.6754
C0,nordicsteel,10,08b68f0a-e1e0-4722-b373-d4f58505ca99,warehouse-north,0.2185,0.4754,0.4762,0.684,speed-estimator,0.2288,0.489,0.6975
C1,freshco,6,b6033604-b9dc-4777-8656-a2c952d930ad,warehouse-south,0.1891,0.6089,0.3411,0.3599,cost-estimator,0.2216,0.6244,0.3476
C1,freshco,7,dbb2bef9-37f1-48bc-84b0-0a6cf086f1cd,warehouse-south,0.2476,0.6257,0.4968,0.4945,cost-estimator,0.1848,0.5937,0.3601
