config,client,run_number,run_id,phi_south,phi_central,phi_north
C2,quickship,3,acaa873d-f4f6-40b5-ab63-b224ccdb5f08,0,0,0
C2,quickship,4,292246a0-054c-410e-9844-0aba2327a546,0,0,0
C2,quickship,5,4230068a-81ce-4563-8a35-7fe5ef907d42,0,0,0
C2,nordicsteel,1,8a7710e4-1df9-44b5-864c-d3ffad7b4fdb,0,0,0
C2,nordicsteel,2,21fa3f29-c7a9-4a2b-86b6-6ccfc379d323,0,0,0
C2,nordicsteel,3,5cf7a95d-d6c4-4f6f-8f80-d3be43f8f555,0,0,0
C2,nordicsteel,4,3fd9e0d5-1387-4a32-b311-f76c0b078c1d,0,0,0
C2,nordicsteel,5,b9fda485-f8ad-48d0-8955-777409250896,0,0,0
C3,freshco,1,78d3043a-bd42-4324-94e8-8ffc0e7466d1,1,0,0
C3,freshco,2,d25e00a2-8895-40df-b998-90616e55ae40,1,0,0.2
C3,freshco,3,d7831bfe-2ace-4b7c-888f-317aa1feb640,1,0,0.6000000000000001
C3,freshco,4,acab6e54-83e9-4be1-85c1-d4b4638e3140,1,0,0
C3,freshco,5,23fe165d-d165-4243-9623-d7b17b926a7d,1,0,0
C3,techparts,1,04764ceb-c882-41c8-b8c8-a91e19cc150b,0,1,0
C3,techparts,2,c0bd9754-3d68-49b4-83fe-583e70325cd7,0,1,0
C3,techparts,3,6cfae709-ca1e-4ae1-bb88-cf53824f7c95,0,1,0.8
C3,techparts,4,b4e7b225-dcd9-49b5-ae3f-1851670380e5,0,1,0
C3,techparts,5,2fdb1d98-444d-47cf-ae38-0f99557860e5,0,1,0
C3,greenleaf,1,345f6c81-55a1-43ef-b95c-cf624ddc156a,0,1,0
C3,greenleaf,2,2bb4e292-196f-4be3-af1b-16c563235ef2,0,1,0
C3,greenleaf,3,0446a1fb-c49f-4526-bef4-2cb75b82a053,0,1,0
C3,greenleaf,4,678193a6-9e1c-42e7-b4af-26b308547cc8,0,1,0
C3,greenleaf,5,7bcfd6df-8edb-4ac5-9351-81380c3eeedb,0,1,0
C3,quickship,1,8bdf3539-7a31-460d-b6b6-681475a63bed,1,0,0
C3,quickship,2,8ffed65e-95b0-4eeb-a0a7-fc7e136dc83e,1,0,0
C3,quickship,3,f9599add-b6ee-497a-bcae-d62641d71db6,1,0,0
C3,quickship,4,d8b8d02d-1007-4aeb-ae86-c5480f7b035a,1,0,0
C3,quickship,5,89c68ae4-5900-4bd6-9748-fea4ca595ad4,1,0,1
C3,nordicsteel,1,b6b19b87-fcc3-4296-bd2e-24624e84ad56,0,1,1
C3,nordicsteel,2,ca4a4dc7-1134-41f1-894f-d0b2049fb99f,0,0,1
C3,nordicsteel,3,b492e436-6b82-48a5-a9ab-33171142fef3,0,1,1
C3,nordicsteel,4,72a4502a-c3d8-4563-ab8d-d777e8005ed8,0,0,1
C3,nordicsteel,5,01aa4535-ce08-46f6-9f7b-10d484929f3d,0,0,1
C4,freshco,1,fc28bb6b-1d56-49aa-b503-729637695447,1,1,0
C4,freshco,2,c8862738-3292-48aa-a1a6-e7dc0f36e06c,1,0,1
C4,freshco,3,192ec554-0faf-4f1e-b4a6-1585fa812d58,1,0,0
C4,freshco,4,79526ffd-ca1d-4f96-945b-a23d4841c7b9,1,0,0
C4,freshco,5,4f7fbba9-9ab3-41dd-86f0-dd2fa67d7283,1,0,1
C4,techparts,1,07de183e-d278-4fae-8b1d-04a85edcfbd1,1,1,0
C4,techparts,2,fdfb4cb5-890a-4a22-a328-f506081d8707,0,1,0
C4,techparts,3,85a6d3aa-19c3-4dad-b697-980d172dfae4,0,1,0
C4,techparts,4,0684aa9d-24c7-4335-8f28-efa30095f36b,0,1,0
C4,techparts,5,49672c4b-29a1-4792-802e-948bc039fc0f,0,1,1
C4,greenleaf,1,ed9c86b2-e2f9-4a12-a168-0981f6a8c0e2,0,1,1
C4,greenleaf,2,88bee061-50fd-47ef-9ea3-a37d0a6e6934,0,1,0
C4,greenleaf,3,0296fed7-1ac4-4797-a821-67c9ed301889,0,1,0
C4,greenleaf,4,f8fee83d-f760-4585-9c05-f527731bf76f,0,1,0
C4,greenleaf,5,3a0f1afe-0eff-487c-bdef-fd92746ad755,0,1,0
C4,quickship,1,2ce8c20f-471c-4c6b-99bb-72285436160b,1,0,0
C4,quickship,2,fb445f6b-a4e0-4a32-8298-40272e4e74a9,1,0,0
C4,quickship,3,c77e90cc-b830-4037-bb52-ce98b3e84fa2,1,1,0
C4,quickship,4,643d8696-d155-44ed-a311-2b8808b5eed0,1,0,0
C4,quickship,5,db5165d9-abf4-4961-b903-9a92a30770fe,1,0,0
C4,nordicsteel,1,c40d1f3b-42de-46fc-89a9-3cd8a18e1046,0,0,1
C4,nordicsteel,2,6d221a98-ea2f-4f16-b37d-5f75c11c178b,0,0,1
C4,nordicsteel,3,6f7c521b-1542-41c7-9792-d84c61f49e94,0,0,1
C4,nordicsteel,4,316bdf91-5b8a-4add-9857-d24e2d95e843,1,0,1
C4,nordicsteel,5,86b9458c-1919-40fd-82dd-7deacc43b79b,0,0,1
C3+C4,freshco,1,2ba6a19d-1772-486c-8162-4431335e8bad,1,1,0
C3+C4,freshco,2,2d68658b-c1aa-453e-986f-a0c850225d2c,1,1,0
C3+C4,freshco,3,b13ef55e-d75d-41d9-bafb-3a6d52e71086,1,0,0
C3+C4,freshco,4,89a4e6fe-4391-4bb2-8f98-0db0f1535567,1,0,0
C3+C4,freshco,5,397ebe62-be14-4090-80e7-44dfdac0170b,1,0,1
C3+C4,techparts,1,818cba4e-adba-4429-a308-e97f81dab920,0,1,1
C3+C4,techparts,2,b007da0d-f6e8-46fb-85ab-cdbceb917986,1,1,0
C3+C4,techparts,3,b43c8151-9603-464a-acd7-b3f9d5ee318a,0,1,0
C3+C4,techparts,4,d9969884-792a-4278-a16e-b3b6c51a7f9e,0,1,0
C3+C4,techparts,5,048d27dc-3fc2-484c-8480-8e592df00ecb,0,1,0
C3+C4,greenleaf,1,2b56e45d-5e09-42b6-be8f-ec8903db6fb1,1,1,0
C3+C4,greenleaf,2,17a7de58-5158-4835-8253-6469dc325c08,0,1,0
C3+C4,greenleaf,3,75ce16da-7e6d-4331-828c-60b24aff26ad,0,1,0
C3+C4,greenleaf,4,09e3e7d2-d9b1-4f8a-a10a-998befa49fc7,0,1,0
C3+C4,greenleaf,5,84531281-f9e6-4b09-9f23-e712f475031c,0,1,0
C3+C4,quickship,1,cd3fc58e-8b21-4d45-8e44-eb84bceb42a7,1,0,0
C3+C4,quickship,2,1c30c44a-1354-4db3-8e8d-4b248fe8da93,1,0,0
C3+C4,quickship,3,3d8d5048-ef15-4cf8-9e20-9e29d31b2559,1,0,0
C3+C4,quickship,4,57c83910-9b03-45d7-8414-1e47a9651c88,1,0,0
C3+C4,quickship,5,8a9928ba-5d23-425b-b9fe-a6bcd4e79451,1,0,0
C3+C4,nordicsteel,1,41c50b06-4a1e-4a16-bfa0-749f1c85d3b7,0,0,1
C3+C4,nordicsteel,2,0dac7cd8-ffaf-496f-9ed9-0e67401ce22a,0,0,1
C3+C4,nordicsteel,3,8271ab85-7556-4ac9-b2ba-c4adb6923646,0,0,1
C3+C4,nordicsteel,4,a37e61ac-fcb1-4a0a-8c90-a3a9ad0aaa26,0,0,1
C3+C4,nordicsteel,5,52fd7633-e8cb-4a90-a0be-0aa44b35aec9,1,0,1
C5,freshco,1,7ef79c22-b580-4de8-b279-0fa265565282,1,0,0
C5,freshco,2,4d1e4af0-0015-4fb0-a7cf-9873dd1b6153,1,0,1
C5,freshco,3,9a1b0621-d74d-411b-be72-c4f764542694,1,0,0
C5,freshco,4,5d07900c-bd36-4541-ac48-cde2788b5509,1,0,0
C5,freshco,5,298b3cde-652a-4fcd-937b-ecf436c95998,1,0,0
C5,techparts,1,1c22ff40-b455-4d18-8496-4eac0fe47cbf,1,1,0
C5,techparts,2,f2073542-72aa-4892-8421-2cbe4ce8874c,0,1,0
C5,techparts,3,45ee1ef5-f4db-4884-a7bd-4cadc473f497,0,1,0
C5,techparts,4,4bbca3ae-b70d-43a0-bdc7-8a0e8b95c9bd,1,1,1
C5,techparts,5,2b6752b3-548e-4028-87f5-ffc6dc8c70cd,0,1,0
C5,greenleaf,1,be10501b-4cdc-4491-b013-40c18a023b8b,0,1,0
C5,greenleaf,2,0281a01f-a6c8-4802-a773-7f1255f2dd46,1,1,0
C5,greenleaf,3,9cb84e73-1f0b-4e1e-9120-ed8147c26111,0,1,0
C5,greenleaf,4,43ede2cd-7591-4b11-8efe-01bb144c7e99,0,1,0
C5,greenleaf,5,345eb4af-a445-4357-8631-737b6cdcbb53,1,1,0
