config,client,run_number,assignment_accuracy,warehouse_correct,estimator_correct,latency_seconds
C0,nordicsteel,27,1.0,True,True,175.3
C0,nordicsteel,28,1.0,True,True,194.9
C0,nordicsteel,29,1.0,True,True,217.3
C0,nordicsteel,30,1.0,True,True,154.2
C0,quickship,1,1.0,True,True,175.8
C0,quickship,1,0.5,True,False,186.7
C0,quickship,1,1.0,True,True,235.0
C0,quickship,2,1.0,True,True,193.2
C0,quickship,2,0.0,False,False,224.2
C0,quickship,2,0.5,False,True,263.4
C0,quickship,3,1.0,True,True,211.9
C0,quickship,3,0.5,False,True,225.7
C0,quickship,4,1.0,True,True,161.2
C0,quickship,4,0.5,True,False,153.2
C0,quickship,5,1.0,True,True,220.8
C0,quickship,5,0.5,False,True,232.4
C0,quickship,6,1.0,True,True,221.8
C0,quickship,6,0.0,False,False,189.7
C0,quickship,7,1.0,True,True,195.8
C0,quickship,7,0.0,False,False,235.7
C0,quickship,8,1.0,True,True,237.0
C0,quickship,8,0.5,True,False,164.1
C0,quickship,9,1.0,True,True,172.3
C0,quickship,9,1.0,True,True,213.3
C0,quickship,10,1.0,True,True,218.8
C0,quickship,10,1.0,True,True,177.7
C0,quickship,11,1.0,True,True,154.4
C0,quickship,12,1.0,True,True,182.2
C0,quickship,13,1.0,True,True,182.1
C0,quickship,14,1.0,True,True,193.2
C0,quickship,15,1.0,True,True,203.6
C0,quickship,16,1.0,True,True,195.6
C0,quickship,17,1.0,True,True,177.7
C0,quickship,18,0.5,False,True,172.8
C0,quickship,19,1.0,True,True,203.1
C0,quickship,20,1.0,True,True,193.4
C0,quickship,21,1.0,True,True,230.0
C0,quickship,22,1.0,True,True,211.5
C0,quickship,23,1.0,True,True,226.7
C0,quickship,24,1.0,True,True,122.0
C0,quickship,25,1.0,True,True,208.8
C0,quickship,26,1.0,True,True,193.6
C0,quickship,27,1.0,True,True,195.7
C0,quickship,28,1.0,True,True,197.4
C0,quickship,29,1.0,True,True,240.5
C0,quickship,30,0.5,True,False,182.7
C0,techparts,1,1.0,True,True,203.8
